year,period,periodName,value,footnotes
2021,M12,December,25,[{}]
2021,M11,November,25,[{}]
2021,M10,October,33,[{}]
2021,M09,September,35,[{}]
2021,M08,August,34,[{}]
2021,M07,July,39,[{}]
2021,M06,June,33,[{}]
2021,M05,May,31,[{}]
2021,M04,April,34,[{}]
2021,M03,March,24,[{}]
2021,M02,February,20,[{}]
2021,M01,January,29,[{}]
2020,M12,December,17,[{}]
2020,M11,November,18,[{}]
2020,M10,October,24,[{}]
2020,M09,September,23,[{}]
2020,M08,August,20,[{}]
2020,M07,July,28,[{}]
2020,M06,June,27,[{}]
2020,M05,May,19,[{}]
2020,M04,April,21,[{}]
2020,M03,March,18,[{}]
2020,M02,February,19,[{}]
2020,M01,January,21,[{}]
2019,M12,December,17,[{}]
2019,M11,November,21,[{}]
2019,M10,October,26,[{}]
2019,M09,September,21,[{}]
2019,M08,August,18,[{}]
2019,M07,July,29,[{}]
2019,M06,June,26,[{}]
2019,M05,May,23,[{}]
2019,M04,April,27,[{}]
2019,M03,March,23,[{}]
2019,M02,February,18,[{}]
2019,M01,January,23,[{}]
